,Coin,classification,total_risk_usd,total_pnl,efficiency%
264,BTC,Fear,39580.38095490356,62.57412037421896,0.15809377996011112
265,BTC,Greed,25537.577090449086,17.000019867805186,0.06656864826132272
262,BTC,Extreme Fear,24748.281398154722,0.47415284457061657,0.0019159021062608828
266,BTC,Neutral,23256.099325092706,39.257615459332506,0.1688056750642383
312,ETH,Fear,19319.58895638629,313.8656672102804,1.6245980590934301
263,BTC,Extreme Greed,18386.65682262867,41.985372895363675,0.22834696541293897
586,SOL,Greed,17028.109293313068,335.7529257963526,1.9717569344483983
583,SOL,Extreme Fear,15753.070110974106,65.40123631504316,0.4151650177033271
585,SOL,Fear,14853.581990450612,201.13601443658607,1.354124645259956
314,ETH,Neutral,14701.0938662033,49.97399947176368,0.3399338846930984
587,SOL,Neutral,12665.54334392375,235.9653670667196,1.8630496983765263
313,ETH,Greed,11257.72728398885,96.70101450325178,0.8589745697675897
310,ETH,Extreme Fear,10264.711020408164,380.47321664285715,3.7066140087763335
677,XAI,Extreme Greed,8124.79,134.276725875,1.6526793415583667
526,PNUT,Neutral,8038.636,98.4738976,1.225007546056321
311,ETH,Extreme Greed,7881.519319620254,-21.366116079113922,-0.2710913367417005
285,DOGE,Neutral,7663.64282051282,2969.4734945384616,38.74754557441335
678,XRP,Extreme Fear,7624.643822894168,-31.945787131749462,-0.418980714034501
253,BNB,Greed,7153.287419354839,0.20891258064516116,0.0029205114851096415
278,CRV,Greed,6685.334545454545,-109.05672963636363,-1.6312830553934337
704,ZRO,Neutral,6634.517199999999,1446.8952208,21.808598533741087
439,MATIC,Greed,6521.173,-8.220988633333333,-0.1260661024225754
328,FTM,Extreme Greed,6288.255,90.58081726388889,1.440476209439485
288,DOT,Neutral,6262.512,1.826962,0.029172990007843496
300,EIGEN,Neutral,6172.484545454546,1.046983,0.01696209998242935
689,ZEREBRO,Extreme Fear,6082.9392307692315,88.299678,1.451595596309021
237,BERA,Neutral,5893.972566371682,-191.30202053097344,-3.245722954708943
481,NEAR,Extreme Greed,5889.376,93.39053046363635,1.5857457642989063
393,IP,Extreme Fear,5640.071666666667,25.9612,0.4602991155845242
589,SPX,Fear,5567.962857142857,146.943567,2.6390902879586124
578,SEI,Fear,5541.316000000001,835.6,15.079450441014371
289,DYDX,Extreme Fear,5406.880612244899,0.0,0.0
599,SUI,Extreme Fear,5364.060897959183,182.75582551428573,3.4070423321222396
168,AAVE,Neutral,5335.84693877551,-114.85687228571429,-2.1525518554711778
250,BNB,Extreme Fear,5155.894761904762,23.967591904761907,0.46485805105741657
655,VIRTUAL,Extreme Greed,5145.118372093023,74.01310754883721,1.4385112682787284
580,SEI,Neutral,5124.419512195122,18.922186585365854,0.3692552208173966
548,PYTH,Greed,5109.847758620689,19.28565762068965,0.37742137401556297
626,TRUMP,Extreme Fear,5039.008612716763,182.8673088150289,3.629033464113026
386,INJ,Greed,5012.7674074074075,110.60076014814814,2.2063812493017827
306,ENS,Greed,5003.6475,-1.7803399999999998,-0.03558084377446652
559,RNDR,Extreme Greed,4893.713846153847,81.31734133333333,1.6616693147525101
207,APT,Extreme Fear,4833.630769230769,0.0,0.0
41,@142,Fear,4820.69096069869,5.777533537117904,0.11984866037296306
579,SEI,Greed,4792.0960869565215,-12.941616144927536,-0.27006169972578337
602,SUI,Greed,4766.845608899297,118.99349574355973,2.4962733326501905
287,DOT,Greed,4737.2092,3.9853533599999995,0.08412871781132232
680,XRP,Fear,4650.828932038835,67.16478178640776,1.4441464686804553
478,MYRO,Extreme Greed,4580.42625,3.62276625,0.07909233884073562
590,SPX,Greed,4532.168863636363,71.13361025,1.5695269172500845
438,MATIC,Extreme Greed,4490.9175000000005,114.4450845,2.548367555182209
593,STRK,Greed,4462.5922222222225,-89.37833333333333,-2.0028344263286932
584,SOL,Extreme Greed,4412.373831884058,21.296813172753623,0.4826611249224096
633,TST,Neutral,4391.728478260869,33.831190652173916,0.7703388499457305
417,LAYER,Neutral,4327.113669064748,52.43737741007194,1.2118326769401837
