,classification,trade_count,total_pnl,avg_pnl,win_count,loss_count,win_rate,loss_rate,avg_risk,total_fees
0,Extreme Greed,37390,2640896.51778,70.63109167638406,16899,20491,45.19657662476598,54.80342337523402,3228.5773618614603,26506.96868429
1,Fear,53815,3117866.769812,57.93676056512125,22385,31430,41.59620923534331,58.40379076465669,8662.422543342935,89447.557377856
2,Neutral,33413,1226597.302371,36.7101817367791,13153,20260,39.36491784634723,60.63508215365277,5187.745861790321,38453.6002648579
3,Greed,46385,2016771.650122,43.47896195153606,17701,28684,38.161043440767486,61.838956559232514,6094.858797240488,62180.2594472707
4,Extreme Fear,18213,714307.055785,39.21962640888376,6878,11335,37.76423433811014,62.23576566188986,6021.442591006424,23013.0376203469
