,Coin,classification,total_pnl,avg_pnl,trade_count,avg_trade_size_usd,total_fees
92,@36,Greed,0.0,0.0,1,0.01,0.0
93,@37,Extreme Greed,288.682161,32.075795666666664,9,199.24222222222224,25.490166000000002
94,@37,Fear,0.0,0.0,1,35.05,1.04364
95,@37,Greed,10.17704,3.3923466666666666,3,7.583333333333333,0.54099
96,@38,Extreme Fear,33.271993,33.271993,1,33.36,0.011208
97,@38,Fear,0.0,0.0,2,0.385,0.0
98,@38,Neutral,0.0,0.0,6,84.09,23.85402
99,@39,Extreme Fear,12.238556,12.238556,1,12.57,0.004224
100,@39,Fear,0.0,0.0,1,0.0,0.0
101,@4,Extreme Fear,-1104.856765,-13.8107095625,80,116.813625,1.8579320000000001
102,@4,Extreme Greed,231.793541,5.794838525,40,85.38275,0.618509
103,@4,Fear,1595.473531,6.877041081896552,232,147.2964655172414,6.851652
104,@4,Greed,0.0,0.0,262,57.66904580152672,2.348688
105,@4,Neutral,-853.866594,-3.456949773279352,247,101.00089068825912,5.883106
106,@40,Extreme Fear,16.748319,16.748319,1,17.58,0.005904
107,@40,Extreme Greed,-4.598636,-0.656948,7,56.62285714285714,5.004352
108,@40,Fear,0.0,0.0,1,0.0,0.0
109,@41,Extreme Fear,36.73844,36.73844,1,37.23,0.003574
110,@41,Fear,0.0,0.0,2,0.17,0.0
111,@41,Greed,0.0,0.0,1,0.06,0.0
112,@41,Neutral,0.0,0.0,1,0.61,0.0
113,@42,Neutral,0.0,0.0,1,0.74,0.0
114,@44,Fear,0.0,0.0,1,0.65,0.0
115,@44,Greed,0.0,0.0,1,0.0,0.0
116,@44,Neutral,0.0,0.0,1,0.12,0.0
117,@45,Fear,0.0,0.0,1,0.54,0.0
118,@46,Fear,0.0,0.0,3,0.19000000000000003,0.0
119,@47,Extreme Fear,50.313458,25.156729,2,25.549999999999997,0.017169
120,@47,Fear,0.0,0.0,1,0.0,0.0
121,@47,Greed,0.0,0.0,1,0.04,0.0
122,@48,Fear,0.0,0.0,1,0.68,0.0
123,@49,Extreme Fear,-40.712216999999995,-10.178054249999999,4,114.82,0.160745
124,@49,Fear,0.0,0.0,1,500.0,0.2136618
125,@51,Extreme Fear,0.0,0.0,26,66.875,0.72798394
126,@51,Extreme Greed,-5.320433,-1.33010825,4,13.5075,0.0092319
127,@51,Fear,-288.283113,-3.793198855263158,76,74.51605263157894,1.93499142
128,@51,Greed,-37.27303,-2.070723888888889,18,138.0438888888889,0.43426368
129,@51,Neutral,0.0,0.0,96,87.28281249999999,2.65464159
130,@53,Extreme Greed,32.544379,16.2721895,2,16.87,0.011335
131,@53,Fear,0.0,0.0,1,0.0,0.0
132,@53,Greed,35.320328,35.320328,1,36.03,0.010808
133,@59,Extreme Greed,804.909547,57.49353907142857,14,489.4642857142857,0.87515239
134,@59,Fear,0.0,0.0,14,430.35714285714283,0.39776284
135,@59,Greed,1752.19606,159.2905509090909,11,838.5672727272727,1.9589413999999998
136,@59,Neutral,0.0,0.0,7,360.11285714285714,0.19728721
137,@6,Greed,0.0,0.0,1,0.03,0.0
138,@61,Fear,0.0,0.0,1,0.62,0.0
139,@63,Greed,-20.663546,-10.331773,2,29.975,0.02052089
140,@68,Extreme Greed,0.0,0.0,1,10.09,0.00314588
141,@7,Greed,0.0,0.0,1,0.03,0.0
142,@74,Extreme Greed,371.633249,53.09046414285714,7,54.68,0.413268
143,@74,Neutral,0.0,0.0,2,0.3,0.0
144,@78,Fear,0.0,0.0,3,501.69666666666666,0.08497629
